 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
       1        192   -6.394e-01    2.526e-01   -5.000e-01    5.000e-01   1   0          0   00   10    1.750e-01
       1        364   -9.713e-02   -7.183e-01    0.000e+00   -1.000e+00   1   0          0   00   22    1.750e-01
       1        656   -1.723e-01    1.313e+00   -1.000e-01    1.600e+00   1   0          0   00   45    1.750e-01
       1       1016    5.002e-01   -1.221e+00    5.000e-01   -1.500e+00   1   0          0   01   10    1.750e-01
       1       1224    5.381e-01   -2.496e-01    6.000e-01    0.000e+00   1   0          0   01   24    1.750e-01
       1       1231    4.105e-01   -1.182e-01   -1.300e+00   -9.000e-01   0   1          0   01   27    1.750e-01
       2       1592    1.749e+00   -1.523e+00    1.800e+00   -1.800e+00   1   0          0   01   49    1.753e-01
       2       1984   -1.025e+00   -9.226e-01   -1.300e+00   -9.000e-01   1   0          0   02   15    1.753e-01
       3       2148   -5.953e-01    2.416e-01   -5.000e-01    5.000e-01   1   0          0   02   26    1.755e-01
       3       2528    1.619e+00   -4.129e-01    1.900e+00   -5.000e-01   1   0          0   02   50    1.755e-01
       3       2824    1.824e+00    1.279e+00    2.000e+00    1.500e+00   1   0          0   03   11    1.755e-01
       3       3424    7.705e-01   -1.624e+00    7.000e-01   -1.900e+00   1   0          0   03   43    1.755e-01
       3       3468    6.047e-01   -1.781e+00    5.000e-01   -1.500e+00   1   0          0   03   46    1.755e-01
       3       3544    4.336e-01   -2.029e+00    7.000e-01   -1.900e+00   1   0          0   03   50    1.755e-01
       3       3956   -3.828e-01    2.528e-01   -5.000e-01    5.000e-01   1   0          0   04   12    1.755e-01
       4       4424    3.508e-01    1.546e+00    5.000e-01    1.800e+00   1   0          0   04   37    1.758e-01
       4       4684    6.408e-01    2.902e-01    6.000e-01    0.000e+00   1   0          0   04   51    1.758e-01
       4       4868    1.880e-01   -7.724e-01    0.000e+00   -1.000e+00   1   0          0   05   01    1.758e-01
       4       5392    1.801e+00    1.286e+00    2.000e+00    1.500e+00   1   0          0   05   28    1.758e-01
       4       5541    1.711e+00   -1.538e+00    1.800e+00   -1.800e+00   1   0          0   05   59    1.758e-01
       5       5901   -1.669e+00    9.589e-01   -1.900e+00    1.100e+00   1   0          0   06   19    1.761e-01
       5       5930   -1.641e+00    7.170e-01    1.800e+00   -1.800e+00   0   1          0   06   26    1.761e-01
       6       5968   -1.261e+00    9.139e-01   -1.000e+00    1.000e+00   1   0          0   06   35    1.764e-01
       6       6064   -7.363e-01    6.602e-01   -5.000e-01    5.000e-01   1   0          0   06   41    1.764e-01
       6       6280    2.899e-01    1.599e+00    5.000e-01    1.800e+00   1   0          0   06   53    1.764e-01
       6       6872   -1.725e+00   -7.076e-01   -2.000e+00   -8.000e-01   1   0          0   07   24    1.764e-01
       7       7084   -2.086e-01    1.350e+00   -1.000e-01    1.600e+00   1   0          0   08   09    1.767e-01
       7       7492   -9.337e-02   -7.302e-01    0.000e+00   -1.000e+00   1   0          0   08   30    1.767e-01
